c,Test_Time(s),Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal_Resistance(Ohm),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Charge_Time(s),DisCharge_Time(s),Vmax_On_Cycle(V),RUL,Charge_Efficiency,Energy_Efficiency
1,7631.37936646871,2011-01-03 12:45:07,-0.00223355391062796,3.28643226623535,0.066364062209229,0.890642398586565,0.27870203649485,3.32840601078044,0.100655436515808,0,0,1439.74611670512,5831.57135213223,4.20022678375244,49,13.42055276511851,11.942524900932844
2,21007.1764527389,2011-01-03 16:28:05,-0.001873659202829,3.32806420326233,0.946848122646608,1.75535422533358,3.8074559244476,6.55385153925926,0.103183694183826,0,0,7353.4625076757,5662.25481336626,4.20022678375244,48,1.8538920692233667,1.7213203959045482
3,34393.6229003533,2011-01-03 20:11:12,-0.00223355391062796,3.37115406990051,1.8020727234837,2.58721748624715,7.25303943151186,9.63660497803534,0.109999537467957,0,0,7578.39514774659,5447.97410037387,4.20055103302002,47,1.4356898323424137,1.32862988944576
4,47686.8974505264,2011-01-03 23:52:47,-0.00205360655672848,3.35803270339966,2.63332412858483,3.42218136614761,10.6126777187938,12.7376869643739,0.104714125394821,0,0,7465.3205464032,5467.87842789966,4.20038890838623,46,1.2995670867098,1.2002330893189153
5,60867.5593790588,2011-01-04 03:32:29,-0.00223355391062796,3.35835671424866,3.4671582683205,4.25390919403872,13.9734053228706,15.8277663062333,0.104808628559113,0,0,7373.44745344439,5447.13458917979,4.20038890838623,45,1.2269152039890363,1.132706447749542
6,73820.7893141866,2011-01-04 07:08:23,-0.00223355391062796,3.38864898681641,4.29490249307109,5.06430778453184,17.3090839742055,18.8268548790842,0.107439979910851,0,0,7285.71648314811,5307.44597117049,4.20055103302002,44,1.1791438321829242,1.0876863794260012
7,86899.0324889049,2011-01-04 10:46:23,-0.00223355391062796,3.41116595268249,5.10046718602252,5.85341071978198,20.5714159620193,21.7374017977769,0.108870983123779,0,0,7549.95162788861,5168.21147828921,4.20071315765381,43,1.1476224640407158,1.0566799017583592
8,99859.3827529029,2011-01-04 14:22:24,-0.00223355391062796,3.42072343826294,5.88769558924097,6.63063414847225,23.7647838167906,24.5999902375991,0.111208021640778,0,0,7509.59478149731,5090.69633092657,4.20071315765381,42,1.1261849475691148,1.0351447093837394
9,112744.870812447,2011-01-04 17:57:11,-0.001873659202829,3.42574501037598,6.66371319857796,7.39961753347809,26.9162529560168,27.4303941163207,0.111208021640778,0,0,7488.53183375111,5036.86780626518,4.20071315765381,41,1.1104345749839852,1.0191015131691639
10,125580.328062864,2011-01-04 21:31:08,-0.00205360655672848,3.42882299423218,7.43056735232455,8.16197934623029,30.032769729692,30.2314559698011,0.109683454036713,0,0,7481.68787977827,4993.69828693127,4.20071315765381,40,1.098432859730008,1.0066156482368214
11,138295.492609235,2011-01-05 01:03:04,-0.00241350126452744,3.4105179309845,8.19609947854899,8.93553951500074,33.1396923552914,33.0862676965564,0.108772814273834,0,0,7288.60290733263,5066.50264948721,4.20055103302002,39,1.090218528751027,0.9983878951511608
12,151003.50320706,2011-01-05 04:34:54,-0.00223355391062796,3.40792608261108,8.96986420106701,9.70942536377482,36.2750953653701,35.9446685310231,0.110197551548481,0,0,7279.34563321273,5068.61518100341,4.20055103302002,38,1.082449538379838,0.9908910829587386
13,163678.018559249,2011-01-05 08:06:10,-0.00223355391062796,3.44210624694824,9.73853395130499,10.4571341840581,39.3901662351301,38.6920251494158,0.113540858030319,0,0,7416.85376725821,4897.58834339439,4.20071315765381,37,1.0737893646360206,0.9822762594717951
14,176290.75169962,2011-01-05 11:36:24,-0.00205360655672848,3.44664216041565,10.4850203468882,11.1980294471721,42.4272992484394,41.4119630500662,0.112831503152847,0,0,7399.6419523539,4853.04377711999,4.20071315765381,36,1.06800264345653,0.9760687996559068
15,188825.657223197,2011-01-05 15:05:20,-0.00223355391062796,3.45004391670227,11.2253374531741,11.9336424287895,45.43952322826,44.1114281932854,0.112831503152847,0,0,7356.3589864476,4818.45054734446,4.20071315765381,35,1.063098769063296,0.9707722497812515
16,201292.09408159,2011-01-05 18:33:08,-0.001873659202829,3.45360779762268,11.9603576878064,12.6637301012688,48.4317561362501,46.789992334364,0.113540858030319,0,0,7324.08010758543,4782.31025547983,4.20071315765381,34,1.0588086436728803,0.966101501724046
17,213799.354592041,2011-01-05 22:01:36,-0.00223355391062796,3.44664216041565,12.6889691864737,13.3945692866991,51.4008091268936,49.4714540425425,0.110396288335323,0,0,7360.03194036692,4787.13777940457,4.20087480545044,33,1.0556073617845618,0.9624644997399149
18,226225.904680572,2011-01-06 01:28:44,-0.00223355391062796,3.43076682090759,13.423990531289,14.1362945093262,54.389353457914,52.2033093927342,0.111208021640778,0,0,7208.29222502105,4858.17367286232,4.20055103302002,32,1.0530620143374612,0.9598075004353317
19,238635.608336602,2011-01-06 04:55:35,-0.00205360655672848,3.42574501037598,14.1665273335628,14.8805842552614,57.4045425557058,54.9468533472877,0.109584547579288,0,0,7174.45256858841,4875.17767768385,4.20055103302002,31,1.0504045137446552,0.9571865030361815
20,251067.740554441,2011-01-06 08:22:48,-0.00205360655672848,3.45781946182251,14.9058781204859,15.6013298374334,60.4095531002734,57.5895732154953,0.113643236458302,0,0,7350.56678553136,4721.49720255695,4.20071315765381,30,1.0466562057817785,0.953318974565211
21,263410.751304327,2011-01-06 11:48:33,-0.00223355391062796,3.45781946182251,15.6262611243871,16.3194281186381,63.3455098595216,60.2222231884301,0.112120859324932,0,0,7278.89329274325,4704.01451051386,4.20071315765381,29,1.044359107321534,0.9506944268343902
22,275724.424923873,2011-01-06 15:13:47,-0.001873659202829,3.46008729934692,16.3444067234886,17.0344414516405,66.271374617727,62.843028937733,0.113540858030319,0,0,7269.86212420566,4683.73354385818,4.20071315765381,28,1.042218401672558,0.9482680765297277
23,282816.020758909,2011-01-06 17:12:00,-0.00223355391062796,3.47418069839478,16.8493922648171,17.5572093040034,68.3033368143485,64.7336017872543,0.115266710519791,0,0,3305.56918415486,3425.97363392044,4.20055103302002,27,1.0420084610804794,0.9477370331584694
24,295367.970188729,2011-01-06 20:41:13,-0.00223355391062796,3.47013092041016,17.5770815551585,18.2605024462356,71.2720107234602,67.3077091243212,0.113643236458302,0,0,7584.73406464834,4607.10959296791,4.20071315765381,26,1.0388813631507858,0.9443778622365415
25,307602.247334046,2011-01-07 00:05:09,-0.00205360655672848,3.47288465499878,18.2823169047982,18.9601511547461,74.1508669785186,69.86716797146,0.113643236458302,0,0,7290.92549705147,4583.35940642545,4.20071315765381,25,1.03707594904287,0.9422299538547598
26,319793.12255722,2011-01-07 03:28:21,-0.00205360655672848,3.47499060630798,18.9824902600177,19.6564941510975,77.0099115730835,72.4136591868438,0.115059211850166,0,0,7268.79693943209,4562.00073965798,4.20087480545044,24,1.0355066106631667,0.940316093183956
27,331954.123039004,2011-01-07 06:51:03,-0.00223355391062796,3.4766104221344,19.678901398904,20.3500188745055,79.8540932855451,74.9488870000635,0.115059211850166,0,0,7257.12708889388,4543.73301838991,4.20071315765381,23,1.0341034015058828,0.9385728885814106
28,344112.420882325,2011-01-07 10:13:43,-0.001873659202829,3.47596263885498,20.3725890909604,21.0428798296581,82.6875066257177,77.481135507041,0.113643236458302,0,0,7259.09327831837,4539.07935723319,4.20071315765381,22,1.032901598108368,0.9370355773062167
29,356241.509796532,2011-01-07 13:35:53,-0.00241350126452744,3.46689105033874,21.0666734927679,21.7409416952766,85.5211178024909,80.0356683121,0.113643236458302,0,0,7195.89360883687,4573.03245950199,4.20071315765381,21,1.0320063916469855,0.9358585384365599
30,368349.90529387,2011-01-07 16:57:43,-0.00223355391062796,3.45214986801147,21.7687796452896,22.4501912574987,88.3827760806647,82.6407479361797,0.111918844282627,0,0,7102.3363287341,4645.96946621379,4.20071315765381,20,1.031302242170316,0.9350322721336066
31,380480.614491595,2011-01-07 20:19:55,-0.00205360655672848,3.45052981376648,22.4777624781275,23.1601327782347,91.2688585891504,85.2489291861989,0.112527102231979,0,0,7120.24145712171,4650.39245903445,4.20071315765381,19,1.030357572323811,0.9340418024722934
32,392625.097705486,2011-01-07 23:42:21,-0.00223355391062796,3.45036792755127,23.1876032764327,23.869748276069,94.159174038154,87.8561128271179,0.112831503152847,0,0,7136.19612063203,4648.23905553882,4.20071315765381,18,1.0294185212462046,0.933059510393729
33,404769.798397262,2011-01-08 03:04:47,-0.00241350126452744,3.44939589500427,23.8974793148438,24.5794730887839,97.0494133111472,90.464474479985,0.112019762396812,0,0,7135.64936000853,4649.00256201709,4.20071315765381,17,1.0285383142278308,0.9321485972300478
34,416906.902148305,2011-01-08 06:27:05,-0.00223355391062796,3.44809985160828,24.6075808648006,25.2896856976743,99.9401679672178,93.0753910034347,0.112120859324932,0,0,7124.86891753685,4652.20583327469,4.20071315765381,16,1.027719296611127,0.9313111324163986
35,429038.459632957,2011-01-08 09:49:18,-0.00223355391062796,3.44745206832886,25.3181552946708,25.9999783558828,102.832420003748,95.6870268941467,0.111308395862579,0,0,7118.62141230443,4652.87562784149,4.20055103302002,15,1.0269302029818703,0.9305141986414317
36,441177.066366525,2011-01-08 13:11:38,-0.00223355391062796,3.44680404663086,26.0288866764324,26.7104563124911,105.725229647647,98.2997990676015,0.111208021640778,0,0,7124.68420320345,4653.86262143632,4.20071315765381,14,1.0261851244170124,0.9297667112685174
37,453304.733057812,2011-01-08 16:33:47,-0.00223355391062796,3.44680404663086,26.7398234576805,27.4208386500463,108.618639456694,100.912332961338,0.111308395862579,0,0,7114.0885068406,4653.51936199277,4.20055103302002,13,1.0254682007696723,0.9290517121747922
38,465416.783138727,2011-01-08 19:55:40,-0.00223355391062796,3.44809985160828,27.4504347951636,28.1303208136834,111.510655013695,103.521069694675,0.110495924949646,0,0,7104.44743921145,4647.53440101715,4.20071315765381,12,1.0247677686562395,0.9283513730769605
39,477498.001757885,2011-01-08 23:17:03,-0.00223355391062796,3.44988179206848,28.1598782986184,28.8381347847327,114.398211802842,106.122973456661,0.111818104982376,0,0,7084.5571394954,4636.61219737697,4.20071315765381,11,1.0240859168112093,0.9276628697619606
40,489543.530110865,2011-01-09 02:37:49,-0.00223355391062796,3.45182585716248,28.867591807204,29.544140552163,117.279188246484,108.717481472877,0.111208021640778,0,0,7060.86931560236,4624.53425864245,4.20071315765381,10,1.0234362723942274,0.9269972200386228
41,501565.088492015,2011-01-09 05:58:12,-0.00223355391062796,3.45279765129089,29.5735866496492,30.2491598140296,120.153470899876,111.308265202267,0.111208021640778,0,0,7043.96318640947,4617.58062989187,4.20055103302002,9,1.022843802220669,0.9263841016712724
42,513563.706522583,2011-01-09 09:18:12,-0.00241350126452744,3.45295977592468,30.2785145112538,30.9531124190598,123.023387784482,113.894958294734,0.111308395862579,0,0,7027.97719571379,4610.58099173666,4.20055103302002,8,1.022279755750741,0.9257992349736003
43,525563.778733495,2011-01-09 12:38:13,-0.00223355391062796,3.45231175422668,30.982696090383,31.6570256560199,125.89023935491,116.481686900475,0.112019762396812,0,0,7029.65063944257,4610.37782734473,4.20055103302002,7,1.0217647154937626,0.9252638448965818
44,537565.034096595,2011-01-09 15:58:16,-0.00223355391062796,3.45052981376648,31.6870619660476,32.361949069889,128.757276407127,119.072915597652,0.112831503152847,0,0,7024.13575820287,4616.97081576808,4.20055103302002,6,1.02129850677114,0.9247859143987069
45,549569.534605676,2011-01-09 19:18:22,-0.00241350126452744,3.45004391670227,32.3922513803522,33.0671654328316,131.626973504351,121.665414697268,0.112120859324932,0,0,7025.62004410841,4618.88019883167,4.20055103302002,5,1.020835663583692,0.9243197762443902
46,561576.400761672,2011-01-09 22:38:30,-0.00223355391062796,3.45101571083069,33.0974153620158,33.7716531753286,134.496519473204,124.254982573624,0.112120859324932,0,0,7032.77595641443,4613.97146897988,4.20055103302002,4,1.0203713131656373,0.923852773739469
47,573582.06509094,2011-01-10 01:58:37,-0.00223355391062796,3.45182585716248,33.8019312034434,34.4752781340791,137.363730550642,126.841141244601,0.112729847431183,0,0,7037.21361179697,4608.48719854131,4.20055103302002,3,1.0199203686494427,0.9233961594966902
48,585585.061822577,2011-01-10 05:18:41,-0.00223355391062796,3.45182585716248,34.5056502387589,35.1786306442132,140.228609838877,129.426299139003,0.112019762396812,0,0,7036.00970403704,4606.87816808295,4.20055103302002,2,1.019503484235123,0.9229664280899177
49,597586.389726392,2011-01-10 08:38:44,-0.00223355391062796,3.45231175422668,35.2092063727518,35.8817067998305,143.092852507927,132.010498816428,0.112933330237865,0,0,7036.08787567127,4605.15899253455,4.20055103302002,1,1.0191001302318232,0.922551311981952
50,604743.099942942,2011-01-10 10:38:02,-0.00223355391062796,3.44550800323486,35.716271984542,36.41231679276,145.131874163013,133.935748724639,0.115370742976665,0,0,3320.10222111482,3476.50576364887,4.20038890838623,0,1.0194881707844328,0.9228555029490045
